Fecha,Casos confirmados
10/03/2020,2
11/03/2020,3
12/03/2020,3
13/03/2020,10
14/03/2020,10
15/03/2020,11
16/03/2020,11
17/03/2020,12
18/03/2020,12
19/03/2020,15
20/03/2020,19
21/03/2020,20
22/03/2020,27
23/03/2020,28
24/03/2020,32
25/03/2020,39
26/03/2020,61
27/03/2020,74
28/03/2020,81
29/03/2020,96
30/03/2020,107
31/03/2020,115
1/04/2020,123
2/04/2020,132
3/04/2020,139
4/04/2020,157
5/04/2020,183
6/04/2020,194
7/04/2020,210
8/04/2020,264
9/04/2020,268
10/04/2020,275
11/04/2020,300
12/04/2020,330
13/04/2020,354
14/04/2020,397
15/04/2020,441
16/04/2020,465
17/04/2020,493
18/04/2020,520
19/04/2020,564
20/04/2020,598
21/04/2020,609
22/04/2020,672
23/04/2020,703
24/04/2020,807
25/04/2020,866
26/04/2020,950
27/04/2020,1014
28/04/2020,1053
29/04/2020,1110
30/04/2020,1167
1/05/2020,1229
2/05/2020,1470
3/05/2020,1594
4/05/2020,1681
5/05/2020,1802
6/05/2020,1886
7/05/2020,2081
8/05/2020,2266
9/05/2020,2437
10/05/2020,2556
11/05/2020,2831
12/05/2020,2964
13/05/2020,3148
14/05/2020,3372
15/05/2020,3577
16/05/2020,3826
17/05/2020,4088
18/05/2020,4263
19/05/2020,4481
20/05/2020,4919
21/05/2020,5187
22/05/2020,5579
23/05/2020,5915
24/05/2020,6263
25/05/2020,6660
26/05/2020,7136
27/05/2020,7768
28/05/2020,8387
29/05/2020,8731
30/05/2020,9592
