Fecha,Fallecidos
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,0
25/03/2020,0
26/03/2020,0
27/03/2020,0
28/03/2020,0
29/03/2020,3
30/03/2020,6
31/03/2020,7
01/04/2020,8
02/04/2020,9
03/04/2020,10
04/04/2020,10
05/04/2020,11
06/04/2020,14
07/04/2020,15
08/04/2020,18
09/04/2020,19
10/04/2020,20
11/04/2020,24
12/04/2020,27
13/04/2020,28
14/04/2020,28
15/04/2020,29
16/04/2020,31
17/04/2020,31
18/04/2020,32
19/04/2020,33
20/04/2020,34
21/04/2020,37
22/04/2020,40
23/04/2020,43
24/04/2020,44
25/04/2020,46
26/04/2020,50
27/04/2020,53
28/04/2020,55
29/04/2020,59
30/04/2020,62
01/05/2020,66
02/05/2020,71
03/05/2020,76
04/05/2020,82
05/05/2020,86
06/05/2020,91
07/05/2020,102
08/05/2020,106
09/05/2020,114
10/05/2020,118
11/05/2020,122
12/05/2020,128
13/05/2020,142
14/05/2020,152
15/05/2020,164
16/05/2020,165
17/05/2020,169
18/05/2020,174
19/05/2020,189
20/05/2020,199
21/05/2020,215
22/05/2020,230
23/05/2020,240
24/05/2020,250
