name,lat,lon,z
Santa Cruz de la Sierra,-17.78629,-63.18117,2427
Trinidad,-14.83333,-64.90000,1046
Montero,-17.33866,-63.25050,681
La Paz,-16.50000,-68.15000,179
El Alto,-16.5,-68.2,146
La Guardia,-17.891944,-63.331111,159
Oruro,-17.966667,-67.116667,92
Warnes,-17.510278,-63.164722,97
Cochabamba,-17.393542, -66.157014,97
Sacaba,-17.404167,-66.040833,60
El Torno,-18.05,-63.45,69
Portachuelo,-17.354722,-63.394722,85
Huanuni,-18.29,-66.838056,39
San Pedro,-16.45,-63.716667,55
Mineros,-17.117778,-63.233056,38
Puerto Suárez,-18.963333,-57.797778,3
Roboré,-18.331111,-59.756944,7
San José de Chiquitos,-17.85,-60.75,2
Concepción,-16.131944,-62.026111,2
San Julian,-16.8333,-62.8,4
Cuatro Cañadas,-17.2672,-62.5589,8
Pailón,-17.659444,-62.719722,19
Okinawa Uno,-17.219722,-62.893333,1
Ascensión de Guarayos,-15.890556,-63.1875,1
Cotoca,-17.753889,-62.996944,22
Fernández Alonso,-17.1,-63.2333,31
General Saavedra,-17.225278,-63.214167,23
Colpa Bélgica,-17.55,-63.283333,23
Santa Rosa del Sara,-16.866667,-63.75,21
Buena Vista,-17.666667,-63.733333,12
San Carlos,-17.404444,-63.7325,2
Cabezas,-19.916667,-63.416667,8
Yapacaní,-17.402778,-63.885,17
San Juan de Yapacaní,-16.983333,-63.966667,8
San Andrés,-15.333333,-64.333333,11
Porongo,-17.853333,-63.308611,9
Mairana,-18.119444,-63.956389,25
Samaipata,-18.179444,-63.875556,2
Moro Moro,-18.366667,-64.323333,12
Vallegrande,-18.489444,-64.108333,9
Lagunillas,-19.651667,-63.675833,4
Camiri,-20.1,-63.533333,7
Entre Ríos,-21.525833,-64.171944,9
Puerto Villarroel,-16.866667,-64.783056,4
Omereque,-18.106944,-64.907778,5
Chimoré,-16.993889,-65.150278,6
Shinahota,-16.996667,-65.245556,2
Villa Tunari,-16.9725,-65.42,16
Vacas,-17.6,-65.6,2
Arani,-17.573056,-65.768056,2
Punata,-17.546944,-65.836667,13
San Benito,-17.523056,-65.894167,8
Colomi,-17.166667,-65.916667,1
Villa Tunari,-16.9725,-65.42,16
Cliza,-17.591944,-65.934167,2
Tarata,-17.611389,-66.023333,2
Santiváñez,-17.566667,-66.233333,12
Tiquipaya,-17.2,-66.216667,2
Colcapirhua,-17.390833,-66.238611,2
Vinto,-17.397222,-66.313611,7
Quillacollo,-17.3975,-66.281667,26
Vinto,-17.397222,-66.313611,7
Sipe Sipe,-17.483333,-66.35,16
Ayopaya,-17.0805,-66.8148,1
Cajuata,-16.583333,-67.25,1
Malla,-17,-67.416667,1
Cairoma,-16.904444,-67.539722,11
Chulumani,-16.410171,-67.52548,1
Caranavi,-15.816667,-67.55,3
Sica Sica,-17.333333,-67.733333,2
Umala,-17.366667,-68.016667,8
Patacamaya,-17.25,-67.916667,27
Viacha,-16.633333,-68.283333,5
Laja,-16.583333,-68.416667,1
Achacachi,-16.044444,-68.685,1
Copacabana,-16.165556,-69.085556,1
Eucaliptus,-17.6,-67.516667,11
Santuario de Quillacas,-19.2331,-66.9417,3
Potosí,-19.583333,-65.75,29
Uyuni,-20.46272,-66.82405,3
Colcha K,-20.740556,-67.660556,4
Sucre,-19.04306,-65.25917,17
Icla,-19.5,-64.733333,1
Monteagudo,-19.803056,-63.955,2
Culpina,-20.848545,-64.967736,1
San Lorenzo,-21.418056,-64.749444,1
Tarija,-21.531667,-64.731111,15
Yacuiba,-22.013889,-63.677778,1
San Ignacio de Moxos,-14.994444,-65.640278,4
San Borja,-14.666667,-66.833333,1
Santa Ana,-13.744444,-65.426944,1
San Ramon,-13.333333,-64.75,1
Guayaramerín,-10.826667,-65.356667,29
Riberalta,-11.0065403,-66.063118,4
Cobija,-11.018296,-68.753745,12
